Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Notes,full_address,geocode,lat,lng
ADELAIDE OPS CTRE - 1153,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1153 ADELAIDE ST N,London,N5Y 2N4,"28,268.00",Square feet,168,,"376,344.08",kWh,"120,697.59",Cubic meter,,,,,,,,,,,,,,,,,,,"258,301.64889",58.69149,,,"1153 ADELAIDE ST N, London Ontario","{""lat"": 43.023021, ""lng"": -81.248902, ""boundingbox"": [""43.022971"", ""43.023071"", ""-81.248952"", ""-81.248852""]}",43.023021,-81.248902
ADELAIDE PCP,Facilities related to the treatment of sewage,1201 ADELAIDE ST N,London,N5Y 2N4,"12,900.00",Square feet,168,10402.0,"5,379,060.34",kWh,"206,035.49",Cubic meter,,,,,,,,,,,,,,,,,,,"819,861.08755",586.72555,727.62542,,"1201 ADELAIDE ST N, London Ontario","{""lat"": 43.0114376, ""lng"": -81.2427961, ""boundingbox"": [""43.0110358"", ""43.0115278"", ""-81.2428645"", ""-81.2425302""]}",43.0114376,-81.2427961
ADMIN-PCC,"Storage facilities where equipment or vehicles are maintained, repaired or stored",3901 WEST GRAHAM PL,London,N6P 1G4,825.00,Square feet,168,,"54,649.81",kWh,,,,,,,,,,,,,,,,,,,,,"4,371.98480",66.24219000000001,,,"3901 WEST GRAHAM PL, London Ontario","{""lat"": 42.9161701, ""lng"": -81.3205858, ""boundingbox"": [""42.9157206"", ""42.9173251"", ""-81.3227709"", ""-81.3165567""]}",42.9161701,-81.3205858
AJ TYLER - MAIN BUILDING,"Administrative offices and related facilities, including municipal council chambers",663 BATHURST ST,London,N5Z 1P8,"12,721.00",Square feet,50,,"425,654.94",kWh,"77,716.65",Cubic meter,,,,,,,,,,,,,,,,,,,"180,985.59204",98.38929,,Administration,"663 BATHURST ST, London Ontario","{""lat"": 42.9848552, ""lng"": -81.2304173, ""boundingbox"": [""42.9848052"", ""42.9849052"", ""-81.2304673"", ""-81.2303673""]}",42.9848552,-81.2304173
AJ TYLER - MAIN BUILDING,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,London,N5Z 1P8,"10,068.00",Square feet,50,,"336,883.42",kWh,"61,508.62",Cubic meter,,,,,,,,,,,,,,,,,,,"143,240.53130",98.38928,,Garage Area,"663 BATHURST ST, London Ontario","{""lat"": 42.9848552, ""lng"": -81.2304173, ""boundingbox"": [""42.9848052"", ""42.9849052"", ""-81.2304673"", ""-81.2303673""]}",42.9848552,-81.2304173
AJ TYLER BLDG -# 1 WATER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,London,N5Z 1P8,"6,200.00",Square feet,50,,"32,333.49",kWh,"2,396.90",Cubic meter,,,,,,,,,,,,,,,,,,,"7,118.32306",9.32374,,,"663 BATHURST ST, London Ontario","{""lat"": 42.9848552, ""lng"": -81.2304173, ""boundingbox"": [""42.9848052"", ""42.9849052"", ""-81.2304673"", ""-81.2303673""]}",42.9848552,-81.2304173
AJ TYLER BLDG- STORES BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,London,N5Z 1P8,"1,643.00",Square feet,50,,44.75,kWh,"28,261.75",Cubic meter,,,,,,,,,,,,,,,,,,,"53,436.00762",182.83891,,,"663 BATHURST ST, London Ontario","{""lat"": 42.9848552, ""lng"": -81.2304173, ""boundingbox"": [""42.9848052"", ""42.9849052"", ""-81.2304673"", ""-81.2303673""]}",42.9848552,-81.2304173
AJ TYLER BLDG-# 2 SEWER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,London,N5Z 1P8,"6,200.00",Square feet,50,,"47,167.34",kWh,"2,377.26",Cubic meter,,,,,,,,,,,,,,,,,,,"8,267.89914",11.68263,,,"663 BATHURST ST, London Ontario","{""lat"": 42.9848552, ""lng"": -81.2304173, ""boundingbox"": [""42.9848052"", ""42.9849052"", ""-81.2304673"", ""-81.2303673""]}",42.9848552,-81.2304173
AJ TYLER BLDG-WATER/SEWER BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,London,N5Z 1P8,"6,000.00",Square feet,50,,"12,796.81",kWh,446.26,Cubic meter,,,,,,,,,,,,,,,,,,,"1,867.45601",2.92326,,,"663 BATHURST ST, London Ontario","{""lat"": 42.9848552, ""lng"": -81.2304173, ""boundingbox"": [""42.9848052"", ""42.9849052"", ""-81.2304673"", ""-81.2303673""]}",42.9848552,-81.2304173
ARGYLE ARENA,Indoor recreational facilities ,1948 WAVELL ST,London,N5V 1P4,"49,260.00",Square feet,126,,"1,197,067.53",kWh,"93,240.56",Cubic meter,,,,,,,,,,,,,,,,,,,"272,048.52263",44.41753,,,"1948 WAVELL ST, London Ontario","{""lat"": 43.0002089499258, ""lng"": -81.1685502451732, ""boundingbox"": [""43.000158949926"", ""43.000258949926"", ""-81.168600245173"", ""-81.168500245173""]}",43.0002089499258,-81.1685502451732
ARVA PUMPING,Facilities related to the pumping of water,13966 MEDWAY RD,Arva,N0M 1C0,"7,800.00",Square feet,168,40385.793,"6,132,697.84",kWh,,,,,,,,,,,,,,,,,,,,,"490,615.82720",786.24331,151.85285,6 Pumps at this location,"13966 MEDWAY RD, Arva Ontario",,,
BERKSHIRE PUMP STN,Facilities related to the pumping of sewage,201 WONDERLAND RD S,London,N6K 3T3,"1,200.00",Square feet,168,2988.0,"283,284.79",kWh,,,,,,,,,,,,,,,,,,,,,"22,662.78320",236.07066,94.80749,,"201 WONDERLAND RD S, London Ontario","{""lat"": 42.9613026, ""lng"": -81.2933324, ""boundingbox"": [""42.9591668"", ""42.9635958"", ""-81.29361"", ""-81.2929561""]}",42.9613026,-81.2933324
BOSTWICK PUMP STN,Facilities related to the pumping of sewage,1451 WHARNCLIFFE RD S,London,N6L 1J9,375.00,Square feet,168,142.0,"39,032.71",kWh,,,,,,,,,,,,,,,,,,,,,"3,122.61680",104.08723,274.87824,,"1451 WHARNCLIFFE RD S, London Ontario","{""lat"": 42.9293558617346, ""lng"": -81.2706747389808, ""boundingbox"": [""42.929305861735"", ""42.929405861735"", ""-81.270724738981"", ""-81.270624738981""]}",42.9293558617346,-81.2706747389808
