Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments
ADELAIDE OPS CTRE - 1153,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1153 ADELAIDE ST N,LONDON,N5Y 2N4,"25,685.00",Square feet,168,0.00000,"360,966.45794",kWh,"102,689.19517",Cubic Meter,,,,,,,,,,,,,,,,,,,"206,978.60065",56.54368,0.00000,
ADELAIDE PCP,Facilities related to the treatment of sewage,1201 ADELAIDE ST N,LONDON,N5Y 2N4,"12,900.00",Square feet,168,10161.60000,"3,493,662.00000",kWh,"116,511.09272",Cubic Meter,,,,,,,,,,,,,,,,,,,"344,471.71448",366.81519,465.66642,
ADELAIDE PUMP STN,Facilities related to the pumping of sewage,1201 ADELAIDE ST N,LONDON,N5Y 2N4,0.00,Square feet,168,8720.80000,"1,058,180.00000",kWh,"61,405.45588",Cubic Meter,,,,,,,,,,,,,,,,,,,"153,710.99548",0.00000,196.17277,
ADMIN-PCP,"Storage facilities where equipment or vehicles are maintained, repaired or stored",3901 WEST GRAHAM PL,LONDON,N6P 1G4,825.00,Square feet,168,0.00000,"61,066.46119",kWh,,,,,,,,,,,,,,,,,,,,,"2,170.79056",74.01995,0.00000,
AJ TYLER - MAIN BLDG & (E) WATER/SEWER BLDG,"Administrative offices and related facilities, including municipal council chambers",663 BATHURST ST,LONDON,N5Z 1P8,"22,789.00",Square feet,50,0.00000,"894,816.00000",kWh,"43,967.00000",Cubic Meter,,,,,,,,,,,,,,,,,,,"114,934.11648",59.76951,0.00000,
AJ TYLER - UNIT QUONSE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,LONDON,N5Z 1P8,"1,700.00",Square feet,168,0.00000,,,"3,839.70146",Cubic Meter,,,,,,,,,,,,,,,,,,,"7,259.44326",24.00441,0.00000,
AJ TYLER BLDG -# 1 WATER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,LONDON,N5Z 1P8,"6,200.00",Square feet,50,0.00000,"18,753.35632",kWh,"17,679.79443",Cubic Meter,,,,,,,,,,,,,,,,,,,"34,092.54101",33.33069,0.00000,
AJ TYLER BLDG- STORES BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",665 BATHURST ST,LONDON,N5Z 1P8,"1,643.00",Square feet,50,0.00000,61.87727,kWh,"79,594.39941",Cubic Meter,,,,,,,,,,,,,,,,,,,"150,485.52018",514.89556,0.00000,
AJ TYLER BLDG-# 2 SEWER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,LONDON,N5Z 1P8,"6,200.00",Square feet,50,0.00000,"30,354.95327",kWh,"11,464.33448",Cubic Meter,,,,,,,,,,,,,,,,,,,"22,753.83818",24.54764,0.00000,
AJ TYLER BLDG-GUARD SHED,Other,665 BATHURST ST,LONDON,N5Z 1P8,80.00,Square feet,168,0.00000,"6,700.48575",kWh,,,,,,,,,,,,,,,,,,,,,238.18887,83.75607,0.00000,
AJ TYLER BLDG-PKG LOT,Parking garages,663 BATHURST ST,LONDON,N5Z 1P8,"6,200.00",Square feet,168,0.00000,"26,629.03800",kWh,,,,,,,,,,,,,,,,,,,,,946.60904,4.29501,0.00000,
AJ TYLER BLDG-WATER/SEWER BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,LONDON,N5Z 1P8,"6,000.00",Square feet,50,0.00000,,,"7,848.52996",Cubic Meter,,,,,,,,,,,,,,,,,,,"14,838.64265",13.90207,0.00000,
ARGYLE ARENA,Indoor recreational facilities,1948 WAVELL ST,LONDON,N5V 1P4,"49,260.00",Square feet,126,0.00000,"982,742.00000",kWh,"95,369.00000",Cubic Meter,,,,,,,,,,,,,,,,,,,"215,241.71898",40.52583,0.00000,
ARVA PUMPING,Facilities related to the pumping of water,13966 MEDWAY RD,LONDON,N0M 1C0,"7,800.00",Square feet,168,38347.40000,"4,978,881.88548",kWh,,,,,,,,,,,,,,,,,,,,,"176,989.29327",638.31819,129.83623,
BASIL GROVER PK,Other,555 WHARNCLIFFE RD S,LONDON,N6J 2A1,"1,001.00",Square feet,168,0.00000,"1,496.56746",kWh,,,,,,,,,,,,,,,,,,,,,53.19998,1.49507,0.00000,
BERKSHIRE PUMP STN,Facilities related to the pumping of sewage,201 WONDERLAND RD S,LONDON,N6K 3T3,"1,200.00",Square feet,168,3092.66000,"196,681.89677",kWh,,,,,,,,,,,,,,,,,,,,,"6,991.64807",163.90158,63.59635,
BLACKBURN FOUNTAIN-THAMES RIVER,Other,78 RIVERSIDE DR,LONDON,N6H 1B4,"17,200.00",Square feet,168,0.00000,"171,335.00000",kWh,,,,,,,,,,,,,,,,,,,,,"6,090.61658",9.96134,0.00000,
BONAVENTURE MEADOWS-SPLASH PAD,Other,141 BONAVENTURE DR,LONDON,N5V 4S6,"7,000.00",Square feet,168,0.00000,761.90152,kWh,,,,,,,,,,,,,,,,,,,,,27.08408,0.10884,0.00000,
BOSTWICK PUMP STN,Facilities related to the pumping of sewage,1451 WHARNCLIFFE RD S,LONDON,N6L 1J9,375.00,Square feet,168,188.35000,"50,234.77661",kWh,,,,,,,,,,,,,,,,,,,,,"1,785.74584",133.95940,266.70972,
BOYLE CC,Community centres,530 CHARLOTTE ST,LONDON,N5W 4A4,"8,522.00",Square feet,126,0.00000,"81,579.00000",kWh,"10,206.01192",Cubic Meter,,,,,,,,,,,,,,,,,,,"22,195.73198",22.30066,0.00000,
BROOKDALE PUMP STN,Facilities related to the pumping of sewage,24 BROOKDALE AVE,LONDON,N6J 2W4,0.00,Square feet,168,40.37000,"5,732.00000",kWh,,,,,,,,,,,,,,,,,,,,,203.76114,0.00000,141.98662,
BROUGHDALE PUMP STN,Facilities related to the pumping of sewage,37 TOWER LN,LONDON,N6A 3L1,280.00,Square feet,168,320.42000,"24,350.37473",kWh,,,,,,,,,,,,,,,,,,,,,865.60712,86.96562,75.99518,
BULK WATER DISPENSING STNS,Other,SEVERAL LOCATIONS,LONDON,N6B 1Z2,200.00,Square feet,168,0.00000,"10,257.14892",kWh,,,,,,,,,,,,,,,,,,,,,364.62113,51.28574,0.00000,
BYRON CC - POLE BASE,Community centres,1308 NORMAN AVE,LONDON,N6K 2A3,"8,290.00",Square feet,126,0.00000,"107,999.95699",kWh,"17,163.05706",Cubic Meter,,,,,,,,,,,,,,,,,,,"36,288.12156",35.03077,0.00000,
BYRON CC & POOL,Indoor swimming pools,1308 NORMAN AVE,LONDON,N6K 2A3,"1,540.00",Square feet,168,0.00000,"21,730.00000",kWh,,,,,,,,,,,,,,,,,,,,,772.45804,14.11039,0.00000,
BYRON CC-TENNIS COURTS,Community centres,1308 NORMAN AVE,LONDON,N6K 2A3,"1,540.00",Square feet,168,0.00000,"1,992.90000",kWh,,,,,,,,,,,,,,,,,,,,,70.84361,1.29409,0.00000,
BYRON PUMP STN,Facilities related to the pumping of sewage,1322 OLD BRIDGE RD,LONDON,N6K 1Y2,540.00,Square feet,168,1576.26000,"204,929.00000",kWh,,,,,,,,,,,,,,,,,,,,,"7,284.81609",379.49815,130.00964,
CAMPBELL MEMORIAL PARK,Other,380 DUNDAS ST,LONDON,N6B 1V7,"2,000.00",Square feet,168,0.00000,"1,193.22899",kWh,,,,,,,,,,,,,,,,,,,,,42.41690,0.59661,0.00000,
CANADA GAMES AQUATIC CTR,Indoor swimming pools,1045 WONDERLAND RD N,LONDON,N6G 2Y9,"51,248.00",Square feet,126,0.00000,"1,787,889.00000",kWh,"165,350.00000",Cubic Meter,,,,,,,,,,,,,,,,,,,"376,171.05262",69.17718,0.00000,
CARLING ARENA,Indoor ice rinks,675 GROSVENOR ST,LONDON,N5Y 3T5,"52,390.00",Square feet,126,0.00000,"921,928.00000",kWh,"98,274.00000",Cubic Meter,,,,,,,,,,,,,,,,,,,"218,572.17434",37.53316,0.00000,
CARLING HEIGHTS OCC - SHED,Other,656 ELIZABETH ST,LONDON,N5Y 6L3,"2,000.00",Square feet,126,0.00000,"5,403.31827",kWh,"6,702.22755",Cubic Meter,,,,,,,,,,,,,,,,,,,"12,863.48953",38.31655,0.00000,
CARLING HEIGHTS OCC,Community centres,654 ELIZABETH ST,LONDON,N5Y 6L3,"38,090.00",Square feet,126,0.00000,"980,779.00000",kWh,"116,806.00000",Cubic Meter,,,,,,,,,,,,,,,,,,,"255,701.30925",58.33991,0.00000,
CAVENDISH OPS CTRE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",136 CAVENDISH CRES,LONDON,N6H 1A6,850.00,Square feet,70,0.00000,"3,669.34032",kWh,,,,,,,,,,,,,,,,,,,,,130.43771,4.31687,0.00000,
CENTENNIAL HALL DISTICT COOLING,Auditoriums,550 WELLINGTON ST,LONDON,N6A 3P9,"50,050.00",Square feet,70,0.00000,,,,,,,,,,,,,,,,,,,"1,785.00000",Giga Joule,No,0.00000,"5,353.61663",3.00205,0.00000,
CENTENNIAL HALL,Auditoriums,550 WELLINGTON ST,LONDON,N6A 3P9,"50,050.00",Square feet,168,0.00000,"585,106.00000",kWh,"3,434.26012",Cubic Meter,,,,,,,,,,,"1,862.00000",Giga Joule,No,0.00000,,,,,"137,705.65631",22.75378,0.00000,
CHELSEA GREEN PUMP STN,Facilities related to the pumping of sewage,1 ADELAIDE ST S,LONDON,N5Z 3K2,100.00,Square feet,126,19.72000,"47,310.30789",kWh,,,,,,,,,,,,,,,,,,,,,"1,681.78682",473.10308,"2,399.10283",
CITY HALL,"Administrative offices and related facilities, including municipal council chambers",300 DUFFERIN AVE,LONDON,N6B 1Z2,"174,990.00",Square feet,126,0.00000,"2,423,005.00000",kWh,,,,,,,,,,,,,"6,346.00000",Giga Joule,No,0.00000,"3,696.00000",Giga Joule,No,0.00000,"473,525.02253",25.69800,0.00000,
CITY OWNED PROPERTIES,Other,SEVERAL LOCATIONS,LONDON,N6B 1Z2,"5,000.00",Square feet,168,0.00000,"2,226.99533",kWh,,,,,,,,,,,,,,,,,,,,,79.16523,0.44540,0.00000,
CITY WIDE SPORTS PARK,Other,1610 COMMISSIONERS RD E,LONDON,N6M 1E8,"5,069.00",Square feet,126,0.00000,"183,447.00000",kWh,,,,,,,,,,,,,,,,,,,,,"6,521.17396",36.18998,0.00000,
CIVIC GARDEN COMPLEX,Community centres,625 SPRINGBANK DR,LONDON,N6K 4T1,"19,312.00",Square feet,168,0.00000,"145,149.73280",kWh,"96,648.47493",Cubic Meter,,,,,,,,,,,,,,,,,,,"187,885.99891",60.70361,0.00000,
CLARKE RD PUMP STN,Facilities related to the pumping of sewage,479 CLARKE RD,LONDON,N5W 6H1,"3,040.00",Square feet,168,2162.71000,"267,600.00000",kWh,,,,,,,,,,,,,,,,,,,,,"9,512.64480",88.02632,123.73365,
COAL TAR,Other,75 HORTON ST,LONDON,N6J 1E8,300.00,Square feet,168,0.00000,"27,973.00000",kWh,,,,,,,,,,,,,,,,,,,,,994.38420,93.24333,0.00000,
COLBORNE BUILDING (OLD SOUTH ST HOSPITAL),Other,391 SOUTH STREET,LONDON,N6B 1B8,"26,225.00",Square feet,168,0.00000,7.00000,kWh,,,,,,,,,,,,,,,,,,,,,0.24884,0.00027,0.00000,
CRESTWOOD PUMP STN,Facilities related to the pumping of water,999 GABOR ST,LONDON,N6K4V5,0.00,Square feet,168,74.85000,"17,956.97282",kWh,,,,,,,,,,,,,,,,,,,,,638.33447,0.00000,239.90612,
DEARNESS HOME,Other,710 SOUTHDALE RD E,LONDON,N6E 1R8,"186,664.00",Square feet,168,0.00000,"3,889,041.00000",kWh,"504,342.00000",Cubic Meter,,,,,,,,,,,,,,,,,,,"1,091,770.23190",49.54933,0.00000,
DEARNESS NG TRANSP,Other,710 SOUTHDALE RD E,LONDON,N6E 1R8,"186,664.00",Square feet,168,0.00000,,,"73,604.34194",Cubic Meter,,,,,,,,,,,,,,,,,,,"139,158.35618",4.19069,0.00000,
EAST LIONS ARTISANS CC  & POOL,Community centres,1731 CHURCHILL AVE,LONDON,N5W 5P4,"6,682.00",Square feet,126,0.00000,"92,336.28411",kWh,"19,440.77176",Cubic Meter,,,,,,,,,,,,,,,,,,,"40,037.61821",44.73937,0.00000,
EAST LIONS PARK-POOL,Other,1731 CHURCHILL AVE,LONDON,N5W 5P4,"3,700.00",Square feet,168,0.00000,14.65150,kWh,,,,,,,,,,,,,,,,,,,,,0.52083,0.00396,0.00000,
EAST PARK PUMP STN,Facilities related to the pumping of sewage,1313 HAMILTON RD,LONDON,N5W 1B1,"2,340.00",Square feet,168,528.35000,"81,163.54354",kWh,,,,,,,,,,,,,,,,,,,,,"2,885.20165",34.68528,153.61700,
ED BLAKE PK,Other,449 BARKER ST,LONDON,N5Y 5B2,"1,045.00",Square feet,60,0.00000,"9,707.45903",kWh,,,,,,,,,,,,,,,,,,,,,345.08075,9.28943,0.00000,
ENVIRO PROGS - RENTAL,"Administrative offices and related facilities, including municipal council chambers","520 WELLINGTON ST UN 1,2,3",LONDON,N6A 3R2,"2,819.00",Square feet,126,0.00000,"31,425.33496",kWh,,,,,,,,,,,,,,,,,,,,,"1,117.10781",11.14769,0.00000,
EP WILLIAMS ESTATE,Cultural facilities,101 WINDERMERE RD,LONDON,N6G 2J4,"9,330.00",Square feet,168,0.00000,"21,817.35833",kWh,"9,666.08672",Cubic Meter,,,,,,,,,,,,,,,,,,,"19,050.52799",13.34902,0.00000,
EXETER RD OC,"Storage facilities where equipment or vehicles are maintained, repaired or stored",707 EXETER RD,LONDON,N6E 1L3,"57,100.00",Square feet,168,0.00000,"729,600.00000",kWh,"55,042.00000",Cubic Meter,,,,,,,,,,,,,,,,,,,"129,999.71213",23.02231,0.00000,
FANSHAWE GOLF COURSE-MAIN CLUBHOUSE,Other,2835 SUNNINGDALE RD E,LONDON,N5X 3Y7,"11,335.00",Square feet,168,0.00000,"208,892.40716",kWh,,,,,,,,,,,,,,,,,,,,,"7,425.70729",18.42897,0.00000,
FANSHAWE GOLF COURSE-MTCE BLDG,Other,2835 SUNNINGDALE RD E,LONDON,N5X 3Y7,"2,800.00",Square feet,168,0.00000,"36,893.17321",kWh,,,,,,,,,,,,,,,,,,,,,"1,311.47852",13.17613,0.00000,
FANSHAWE GOLF COURSE-PARKSIDE NINE,Other,2835 SUNNINGDALE RD E,LONDON,N5X 3Y7,"1,760.00",Square feet,168,0.00000,"1,457.99822",kWh,,,,,,,,,,,,,,,,,,,,,51.82892,0.82841,0.00000,
FANSHAWE GOLF COURSE-SPREADER PUMP ,Other,2835 SUNNINGDALE RD E,LONDON,N5X 3Y7,"2,800.00",Square feet,168,0.00000,"76,436.00000",kWh,,,,,,,,,,,,,,,,,,,,,"2,717.14693",27.29857,0.00000,
FANSHAWE WELLS,Facilities related to the pumping of water,2835 CLARKE RD,LONDON,N5X 3Y7,0.00,Square feet,126,1.40000,"59,870.00764",kWh,,,,,,,,,,,,,,,,,,,,,"2,128.25903",0.00000,"42,764.29117",
FARQUHARSON ARENA,Indoor ice rinks,411 TECUMSEH AVE E,LONDON,N6C 1T4,"38,573.00",Square feet,168,0.00000,"538,104.90503",kWh,"31,039.05130",Cubic Meter,,,,,,,,,,,,,,,,,,,"77,811.82160",22.50229,0.00000,
FIDO PARK FIELD HOUSE,Other,733 WINDERMERE RD,LONDON,N5X 3P1,647.00,Square feet,168,0.00000,"2,208.24000",kWh,,,,,,,,,,,,,,,,,,,,,78.49852,3.41304,0.00000,
FIRE HALL # 01,Fire stations and associated offices and facilities,400 HORTON ST E,LONDON,N6B 1L7,"32,937.00",Square feet,168,0.00000,"333,611.01333",kWh,"35,489.33510",Cubic Meter,,,,,,,,,,,,,,,,,,,"78,956.29945",21.58010,0.00000,
FIRE HALL # 02,Fire stations and associated offices and facilities,1103 FLORENCE ST,LONDON,N5W 2M7,"24,700.00",Square feet,168,0.00000,"396,720.00000",kWh,"46,224.24053",Cubic Meter,,,,,,,,,,,,,,,,,,,"101,495.39975",35.95064,0.00000,
FIRE HALL # 03,Fire stations and associated offices and facilities,550 COMMISSIONERS RD W,LONDON,N6K 1B7,"8,052.00",Square feet,168,0.00000,"72,079.78747",kWh,"17,268.62790",Cubic Meter,,,,,,,,,,,,,,,,,,,"35,210.82645",31.74452,0.00000,
FIRE HALL # 04,Fire stations and associated offices and facilities,807 COLBORNE ST,LONDON,N6A 3Z8,"4,418.00",Square feet,168,0.00000,"61,946.75850",kWh,"6,629.76453",Cubic Meter,,,,,,,,,,,,,,,,,,,"14,736.49519",29.96976,0.00000,
FIRE HALL # 05,Fire stations and associated offices and facilities,751 DEVERON CRES,LONDON,N5Z 5E6,"8,120.00",Square feet,168,0.00000,"78,688.50870",kWh,"11,705.08391",Cubic Meter,,,,,,,,,,,,,,,,,,,"24,927.16678",25.01078,0.00000,
FIRE HALL # 06,Fire stations and associated offices and facilities,590 OXFORD ST W,LONDON,N6H 1T9,"9,666.00",Square feet,168,0.00000,"83,790.68937",kWh,"19,590.84259",Cubic Meter,,,,,,,,,,,,,,,,,,,"40,017.56738",30.20875,0.00000,
FIRE HALL # 07,Fire stations and associated offices and facilities,1295 WEBSTER ST,LONDON,N5V 3P8,"6,594.00",Square feet,168,0.00000,"71,570.61979",kWh,"13,679.48799",Cubic Meter,,,,,,,,,,,,,,,,,,,"28,407.00173",32.90160,0.00000,
FIRE HALL # 08,Fire stations and associated offices and facilities,1565 WESTERN RD,LONDON,N6G 1H5,"6,594.00",Square feet,168,0.00000,"56,441.35151",kWh,"11,021.36353",Cubic Meter,,,,,,,,,,,,,,,,,,,"22,843.66463",26.32301,0.00000,
FIRE HALL # 09,Fire stations and associated offices and facilities,746 WELLINGTON RD,LONDON,N6C 4R2,"15,388.00",Square feet,168,0.00000,"123,264.63078",kWh,"21,686.50294",Cubic Meter,,,,,,,,,,,,,,,,,,,"45,382.89909",22.98830,0.00000,
