Address,Annual Flow,Average Hours Per Week,City,Coal,Comments,District Cool,District Heat,Electricity,Emission Factor1,Emission Factor2,Energy Intensity (ekWh/Mega Litres),Energy Intensity (ekWh/sqft),Fuel Oil 1 & 2,Fuel Oil 4 & 6,GHG Emissions (Kg),Natural Gas,Notes,Operation Name,Operation Type,Postal Code,Propane,Renewable1,Renewable2,Total Floor Area,Unit1,Unit10,Unit2,Unit3,Unit4,Unit5,Unit6,Unit7,Unit8,Unit9,Wood,full_address,geocode,lat,lng,year
1153 ADELAIDE ST N,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,60.52838000000001,0.0,0.0,0.0,0.0,,ADELAIDE OPS CTRE - 1153,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Y 2N4,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,43.023021,-81.248902,2015
1201 ADELAIDE ST N,8522.75,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,550.19535,363.50212999999997,0.0,0.0,0.0,0.0,,ADELAIDE PCP,Facilities related to the treatment of sewage,N5Y 2N4,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,43.0114376,-81.24279609999998,2015
1201 ADELAIDE ST N,7869.33,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,274.81802000000005,0.0,0.0,0.0,0.0,0.0,,ADELAIDE PUMP STN,Facilities related to the pumping of sewage,N5Y 2N4,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,43.0114376,-81.24279609999998,2015
3901 WEST GRAHAM PL,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,73.00329,0.0,0.0,0.0,0.0,,ADMIN-PCP,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N6P 1G4,0.0,0.0,0.0,825.0,Square feet,,kWh,,,,,,,,0.0,,,42.9161701,-81.3205858,2015
663 BATHURST ST,0.0,50,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.6711,0.0,0.0,0.0,0.0,,AJ TYLER - MAIN BLDG & (E) WATER/SEWER BLDG,"Administrative offices and related facilities, including municipal council chambers",N5Z 1P8,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.98485520000001,-81.2304173,2015
663 BATHURST ST,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.0011,0.0,0.0,0.0,0.0,,AJ TYLER - UNIT QUONSE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,0.0,0.0,0.0,0.0,Square feet,,,Cubic Meter,,,,,,,0.0,,,42.98485520000001,-81.2304173,2015
663 BATHURST ST,0.0,50,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,35.049609999999994,0.0,0.0,0.0,0.0,,AJ TYLER BLDG -# 1 WATER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.98485520000001,-81.2304173,2015
665 BATHURST ST,0.0,50,LONDON,0.0,,0.0,0.0,116.63,0.0,0.0,0.0,581.1732599999998,0.0,0.0,0.0,0.0,,AJ TYLER BLDG- STORES BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.9833314,-81.2362615,2015
663 BATHURST ST,0.0,50,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,30.76094,0.0,0.0,0.0,0.0,,AJ TYLER BLDG-# 2 SEWER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.98485520000001,-81.2304173,2015
665 BATHURST ST,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,85.09825,0.0,0.0,276.04512,0.0,,AJ TYLER BLDG-GUARD SHED,Other,N5Z 1P8,0.0,0.0,0.0,80.0,Square feet,,kWh,,,,,,,,0.0,,,42.9833314,-81.2362615,2015
