_geojson,Address,Annual Flow,Average Hours Per Week,City,Coal,Comments,District Cool,District Heat,Electricity,Emission Factor1,Emission Factor2,Energy Intensity (ekWh/Mega Litres),Energy Intensity (ekWh/sqft),Fuel Oil 1 & 2,Fuel Oil 4 & 6,GHG Emissions (Kg),Natural Gas,Notes,Operation Name,Operation Type,Postal Code,Propane,Renewable1,Renewable2,Total Floor Area,Unit1,Unit10,Unit2,Unit3,Unit4,Unit5,Unit6,Unit7,Unit8,Unit9,Wood,full_address,geocode,lat,lng,year
"{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Point"",""coordinates"":[-81.248902,43.023021]},""properties"":{""Address"":""1153 ADELAIDE ST N"",""Annual Flow"":0,""Average Hours Per Week"":168,""City"":""LONDON"",""Coal"":0,""Comments"":"""",""District Cool"":0,""District Heat"":0,""Electricity"":0,""Emission Factor1"":0,""Emission Factor2"":0,""Energy Intensity (ekWh/Mega Litres)"":0,""Energy Intensity (ekWh/sqft)"":60.52838000000001,""Fuel Oil 1 & 2"":0,""Fuel Oil 4 & 6"":0,""GHG Emissions (Kg)"":0,""Natural Gas"":0,""Notes"":"""",""Operation Name"":""ADELAIDE OPS CTRE - 1153"",""Operation Type"":""Storage facilities where equipment or vehicles are maintained, repaired or stored"",""Postal Code"":""N5Y 2N4"",""Propane"":0,""Renewable1"":0,""Renewable2"":0,""Total Floor Area"":0,""Unit1"":""Square feet"",""Unit10"":"""",""Unit2"":""kWh"",""Unit3"":""Cubic Meter"",""Unit4"":"""",""Unit5"":"""",""Unit6"":"""",""Unit7"":"""",""Unit8"":"""",""Unit9"":"""",""Wood"":0,""full_address"":"""",""geocode"":"""",""lat"":43.023021,""lng"":-81.248902,""year"":2015,""index"":0}}",1153 ADELAIDE ST N,0,168,LONDON,0,,0,0,0,0,0,0,60.52838000000001,0,0,0,0,,ADELAIDE OPS CTRE - 1153,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Y 2N4,0,0,0,0,Square feet,,kWh,Cubic Meter,,,,,,,0,,,43.023021,-81.248902,2015
"{""type"":""Feature"",""id"":1,""geometry"":{""type"":""Point"",""coordinates"":[-81.24279609999998,43.0114376]},""properties"":{""Address"":""1201 ADELAIDE ST N"",""Annual Flow"":8522.75,""Average Hours Per Week"":168,""City"":""LONDON"",""Coal"":0,""Comments"":"""",""District Cool"":0,""District Heat"":0,""Electricity"":0,""Emission Factor1"":0,""Emission Factor2"":0,""Energy Intensity (ekWh/Mega Litres)"":550.19535,""Energy Intensity (ekWh/sqft)"":363.50213,""Fuel Oil 1 & 2"":0,""Fuel Oil 4 & 6"":0,""GHG Emissions (Kg)"":0,""Natural Gas"":0,""Notes"":"""",""Operation Name"":""ADELAIDE PCP"",""Operation Type"":""Facilities related to the treatment of sewage"",""Postal Code"":""N5Y 2N4"",""Propane"":0,""Renewable1"":0,""Renewable2"":0,""Total Floor Area"":0,""Unit1"":""Square feet"",""Unit10"":"""",""Unit2"":""kWh"",""Unit3"":""Cubic Meter"",""Unit4"":"""",""Unit5"":"""",""Unit6"":"""",""Unit7"":"""",""Unit8"":"""",""Unit9"":"""",""Wood"":0,""full_address"":"""",""geocode"":"""",""lat"":43.0114376,""lng"":-81.24279609999998,""year"":2015,""index"":1}}",1201 ADELAIDE ST N,8522.75,168,LONDON,0,,0,0,0,0,0,550.19535,363.50213,0,0,0,0,,ADELAIDE PCP,Facilities related to the treatment of sewage,N5Y 2N4,0,0,0,0,Square feet,,kWh,Cubic Meter,,,,,,,0,,,43.0114376,-81.24279609999998,2015
"{""type"":""Feature"",""id"":2,""geometry"":{""type"":""Point"",""coordinates"":[-81.24279609999998,43.0114376]},""properties"":{""Address"":""1201 ADELAIDE ST N"",""Annual Flow"":7869.33,""Average Hours Per Week"":168,""City"":""LONDON"",""Coal"":0,""Comments"":"""",""District Cool"":0,""District Heat"":0,""Electricity"":0,""Emission Factor1"":0,""Emission Factor2"":0,""Energy Intensity (ekWh/Mega Litres)"":274.81802000000005,""Energy Intensity (ekWh/sqft)"":0,""Fuel Oil 1 & 2"":0,""Fuel Oil 4 & 6"":0,""GHG Emissions (Kg)"":0,""Natural Gas"":0,""Notes"":"""",""Operation Name"":""ADELAIDE PUMP STN"",""Operation Type"":""Facilities related to the pumping of sewage"",""Postal Code"":""N5Y 2N4"",""Propane"":0,""Renewable1"":0,""Renewable2"":0,""Total Floor Area"":0,""Unit1"":""Square feet"",""Unit10"":"""",""Unit2"":""kWh"",""Unit3"":""Cubic Meter"",""Unit4"":"""",""Unit5"":"""",""Unit6"":"""",""Unit7"":"""",""Unit8"":"""",""Unit9"":"""",""Wood"":0,""full_address"":"""",""geocode"":"""",""lat"":43.0114376,""lng"":-81.24279609999998,""year"":2015,""index"":2}}",1201 ADELAIDE ST N,7869.33,168,LONDON,0,,0,0,0,0,0,274.81802000000005,0,0,0,0,0,,ADELAIDE PUMP STN,Facilities related to the pumping of sewage,N5Y 2N4,0,0,0,0,Square feet,,kWh,Cubic Meter,,,,,,,0,,,43.0114376,-81.24279609999998,2015
"{""type"":""Feature"",""id"":3,""geometry"":{""type"":""Point"",""coordinates"":[-81.3205858,42.9161701]},""properties"":{""Address"":""3901 WEST GRAHAM PL"",""Annual Flow"":0,""Average Hours Per Week"":168,""City"":""LONDON"",""Coal"":0,""Comments"":"""",""District Cool"":0,""District Heat"":0,""Electricity"":0,""Emission Factor1"":0,""Emission Factor2"":0,""Energy Intensity (ekWh/Mega Litres)"":0,""Energy Intensity (ekWh/sqft)"":73.00329,""Fuel Oil 1 & 2"":0,""Fuel Oil 4 & 6"":0,""GHG Emissions (Kg)"":0,""Natural Gas"":0,""Notes"":"""",""Operation Name"":""ADMIN-PCP"",""Operation Type"":""Storage facilities where equipment or vehicles are maintained, repaired or stored"",""Postal Code"":""N6P 1G4"",""Propane"":0,""Renewable1"":0,""Renewable2"":0,""Total Floor Area"":825,""Unit1"":""Square feet"",""Unit10"":"""",""Unit2"":""kWh"",""Unit3"":"""",""Unit4"":"""",""Unit5"":"""",""Unit6"":"""",""Unit7"":"""",""Unit8"":"""",""Unit9"":"""",""Wood"":0,""full_address"":"""",""geocode"":"""",""lat"":42.9161701,""lng"":-81.3205858,""year"":2015,""index"":3}}",3901 WEST GRAHAM PL,0,168,LONDON,0,,0,0,0,0,0,0,73.00329,0,0,0,0,,ADMIN-PCP,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N6P 1G4,0,0,0,825,Square feet,,kWh,,,,,,,,0,,,42.9161701,-81.3205858,2015
"{""type"":""Feature"",""id"":4,""geometry"":{""type"":""Point"",""coordinates"":[-81.2304173,42.98485520000001]},""properties"":{""Address"":""663 BATHURST ST"",""Annual Flow"":0,""Average Hours Per Week"":50,""City"":""LONDON"",""Coal"":0,""Comments"":"""",""District Cool"":0,""District Heat"":0,""Electricity"":0,""Emission Factor1"":0,""Emission Factor2"":0,""Energy Intensity (ekWh/Mega Litres)"":0,""Energy Intensity (ekWh/sqft)"":65.6711,""Fuel Oil 1 & 2"":0,""Fuel Oil 4 & 6"":0,""GHG Emissions (Kg)"":0,""Natural Gas"":0,""Notes"":"""",""Operation Name"":""AJ TYLER - MAIN BLDG & (E) WATER/SEWER BLDG"",""Operation Type"":""Administrative offices and related facilities, including municipal council chambers"",""Postal Code"":""N5Z 1P8"",""Propane"":0,""Renewable1"":0,""Renewable2"":0,""Total Floor Area"":0,""Unit1"":""Square feet"",""Unit10"":"""",""Unit2"":""kWh"",""Unit3"":""Cubic Meter"",""Unit4"":"""",""Unit5"":"""",""Unit6"":"""",""Unit7"":"""",""Unit8"":"""",""Unit9"":"""",""Wood"":0,""full_address"":"""",""geocode"":"""",""lat"":42.98485520000001,""lng"":-81.2304173,""year"":2015,""index"":4}}",663 BATHURST ST,0,50,LONDON,0,,0,0,0,0,0,0,65.6711,0,0,0,0,,AJ TYLER - MAIN BLDG & (E) WATER/SEWER BLDG,"Administrative offices and related facilities, including municipal council chambers",N5Z 1P8,0,0,0,0,Square feet,,kWh,Cubic Meter,,,,,,,0,,,42.98485520000001,-81.2304173,2015
"{""type"":""Feature"",""id"":5,""geometry"":{""type"":""Point"",""coordinates"":[-81.2304173,42.98485520000001]},""properties"":{""Address"":""663 BATHURST ST"",""Annual Flow"":0,""Average Hours Per Week"":168,""City"":""LONDON"",""Coal"":0,""Comments"":"""",""District Cool"":0,""District Heat"":0,""Electricity"":0,""Emission Factor1"":0,""Emission Factor2"":0,""Energy Intensity (ekWh/Mega Litres)"":0,""Energy Intensity (ekWh/sqft)"":25.0011,""Fuel Oil 1 & 2"":0,""Fuel Oil 4 & 6"":0,""GHG Emissions (Kg)"":0,""Natural Gas"":0,""Notes"":"""",""Operation Name"":""AJ TYLER - UNIT QUONSE"",""Operation Type"":""Storage facilities where equipment or vehicles are maintained, repaired or stored"",""Postal Code"":""N5Z 1P8"",""Propane"":0,""Renewable1"":0,""Renewable2"":0,""Total Floor Area"":0,""Unit1"":""Square feet"",""Unit10"":"""",""Unit2"":"""",""Unit3"":""Cubic Meter"",""Unit4"":"""",""Unit5"":"""",""Unit6"":"""",""Unit7"":"""",""Unit8"":"""",""Unit9"":"""",""Wood"":0,""full_address"":"""",""geocode"":"""",""lat"":42.98485520000001,""lng"":-81.2304173,""year"":2015,""index"":5}}",663 BATHURST ST,0,168,LONDON,0,,0,0,0,0,0,0,25.0011,0,0,0,0,,AJ TYLER - UNIT QUONSE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,0,0,0,0,Square feet,,,Cubic Meter,,,,,,,0,,,42.98485520000001,-81.2304173,2015
"{""type"":""Feature"",""id"":6,""geometry"":{""type"":""Point"",""coordinates"":[-81.2304173,42.98485520000001]},""properties"":{""Address"":""663 BATHURST ST"",""Annual Flow"":0,""Average Hours Per Week"":50,""City"":""LONDON"",""Coal"":0,""Comments"":"""",""District Cool"":0,""District Heat"":0,""Electricity"":0,""Emission Factor1"":0,""Emission Factor2"":0,""Energy Intensity (ekWh/Mega Litres)"":0,""Energy Intensity (ekWh/sqft)"":35.049609999999994,""Fuel Oil 1 & 2"":0,""Fuel Oil 4 & 6"":0,""GHG Emissions (Kg)"":0,""Natural Gas"":0,""Notes"":"""",""Operation Name"":""AJ TYLER BLDG -# 1 WATER STORAGE"",""Operation Type"":""Storage facilities where equipment or vehicles are maintained, repaired or stored"",""Postal Code"":""N5Z 1P8"",""Propane"":0,""Renewable1"":0,""Renewable2"":0,""Total Floor Area"":0,""Unit1"":""Square feet"",""Unit10"":"""",""Unit2"":""kWh"",""Unit3"":""Cubic Meter"",""Unit4"":"""",""Unit5"":"""",""Unit6"":"""",""Unit7"":"""",""Unit8"":"""",""Unit9"":"""",""Wood"":0,""full_address"":"""",""geocode"":"""",""lat"":42.98485520000001,""lng"":-81.2304173,""year"":2015,""index"":6}}",663 BATHURST ST,0,50,LONDON,0,,0,0,0,0,0,0,35.049609999999994,0,0,0,0,,AJ TYLER BLDG -# 1 WATER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,0,0,0,0,Square feet,,kWh,Cubic Meter,,,,,,,0,,,42.98485520000001,-81.2304173,2015
"{""type"":""Feature"",""id"":7,""geometry"":{""type"":""Point"",""coordinates"":[-81.2362615,42.983331400000004]},""properties"":{""Address"":""665 BATHURST ST"",""Annual Flow"":0,""Average Hours Per Week"":50,""City"":""LONDON"",""Coal"":0,""Comments"":"""",""District Cool"":0,""District Heat"":0,""Electricity"":116.63,""Emission Factor1"":0,""Emission Factor2"":0,""Energy Intensity (ekWh/Mega Litres)"":0,""Energy Intensity (ekWh/sqft)"":581.1732599999998,""Fuel Oil 1 & 2"":0,""Fuel Oil 4 & 6"":0,""GHG Emissions (Kg)"":0,""Natural Gas"":0,""Notes"":"""",""Operation Name"":""AJ TYLER BLDG- STORES BLDG"",""Operation Type"":""Storage facilities where equipment or vehicles are maintained, repaired or stored"",""Postal Code"":""N5Z 1P8"",""Propane"":0,""Renewable1"":0,""Renewable2"":0,""Total Floor Area"":0,""Unit1"":""Square feet"",""Unit10"":"""",""Unit2"":""kWh"",""Unit3"":""Cubic Meter"",""Unit4"":"""",""Unit5"":"""",""Unit6"":"""",""Unit7"":"""",""Unit8"":"""",""Unit9"":"""",""Wood"":0,""full_address"":"""",""geocode"":"""",""lat"":42.983331400000004,""lng"":-81.2362615,""year"":2015,""index"":7}}",665 BATHURST ST,0,50,LONDON,0,,0,0,116.63,0,0,0,581.1732599999998,0,0,0,0,,AJ TYLER BLDG- STORES BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,0,0,0,0,Square feet,,kWh,Cubic Meter,,,,,,,0,,,42.983331400000004,-81.2362615,2015
"{""type"":""Feature"",""id"":8,""geometry"":{""type"":""Point"",""coordinates"":[-81.2304173,42.98485520000001]},""properties"":{""Address"":""663 BATHURST ST"",""Annual Flow"":0,""Average Hours Per Week"":50,""City"":""LONDON"",""Coal"":0,""Comments"":"""",""District Cool"":0,""District Heat"":0,""Electricity"":0,""Emission Factor1"":0,""Emission Factor2"":0,""Energy Intensity (ekWh/Mega Litres)"":0,""Energy Intensity (ekWh/sqft)"":30.76094,""Fuel Oil 1 & 2"":0,""Fuel Oil 4 & 6"":0,""GHG Emissions (Kg)"":0,""Natural Gas"":0,""Notes"":"""",""Operation Name"":""AJ TYLER BLDG-# 2 SEWER STORAGE"",""Operation Type"":""Storage facilities where equipment or vehicles are maintained, repaired or stored"",""Postal Code"":""N5Z 1P8"",""Propane"":0,""Renewable1"":0,""Renewable2"":0,""Total Floor Area"":0,""Unit1"":""Square feet"",""Unit10"":"""",""Unit2"":""kWh"",""Unit3"":""Cubic Meter"",""Unit4"":"""",""Unit5"":"""",""Unit6"":"""",""Unit7"":"""",""Unit8"":"""",""Unit9"":"""",""Wood"":0,""full_address"":"""",""geocode"":"""",""lat"":42.98485520000001,""lng"":-81.2304173,""year"":2015,""index"":8}}",663 BATHURST ST,0,50,LONDON,0,,0,0,0,0,0,0,30.76094,0,0,0,0,,AJ TYLER BLDG-# 2 SEWER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,0,0,0,0,Square feet,,kWh,Cubic Meter,,,,,,,0,,,42.98485520000001,-81.2304173,2015
"{""type"":""Feature"",""id"":9,""geometry"":{""type"":""Point"",""coordinates"":[-81.2362615,42.983331400000004]},""properties"":{""Address"":""665 BATHURST ST"",""Annual Flow"":0,""Average Hours Per Week"":168,""City"":""LONDON"",""Coal"":0,""Comments"":"""",""District Cool"":0,""District Heat"":0,""Electricity"":0,""Emission Factor1"":0,""Emission Factor2"":0,""Energy Intensity (ekWh/Mega Litres)"":0,""Energy Intensity (ekWh/sqft)"":85.09825,""Fuel Oil 1 & 2"":0,""Fuel Oil 4 & 6"":0,""GHG Emissions (Kg)"":276.04512,""Natural Gas"":0,""Notes"":"""",""Operation Name"":""AJ TYLER BLDG-GUARD SHED"",""Operation Type"":""Other"",""Postal Code"":""N5Z 1P8"",""Propane"":0,""Renewable1"":0,""Renewable2"":0,""Total Floor Area"":80,""Unit1"":""Square feet"",""Unit10"":"""",""Unit2"":""kWh"",""Unit3"":"""",""Unit4"":"""",""Unit5"":"""",""Unit6"":"""",""Unit7"":"""",""Unit8"":"""",""Unit9"":"""",""Wood"":0,""full_address"":"""",""geocode"":"""",""lat"":42.983331400000004,""lng"":-81.2362615,""year"":2015,""index"":9}}",665 BATHURST ST,0,168,LONDON,0,,0,0,0,0,0,0,85.09825,0,0,276.04512,0,,AJ TYLER BLDG-GUARD SHED,Other,N5Z 1P8,0,0,0,80,Square feet,,kWh,,,,,,,,0,,,42.983331400000004,-81.2362615,2015
