Address,Annual Flow,Average Hours Per Week,City,Coal,Comments,District Cool,District Heat,Electricity,Emission Factor1,Emission Factor2,Energy Intensity (ekWh/Mega Litres),Energy Intensity (ekWh/sqft),Fuel Oil 1 & 2,Fuel Oil 4 & 6,GHG Emissions (Kg),Natural Gas,Operation Name,Operation Type,Postal Code,Propane,Renewable1,Renewable2,Total Floor Area,Unit1,Unit10,Unit2,Unit3,Unit4,Unit5,Unit6,Unit7,Unit8,Unit9,Wood,year
1153 ADELAIDE ST N,0.0,168,LONDON,,,,,"375,160.55610",,,0.00000,60.52838,,,"225,040.94391","110,983.78140",ADELAIDE OPS CTRE - 1153,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Y 2N4,,,,"25,685.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
1201 ADELAIDE ST N,8522.75,168,LONDON,,,,,"3,360,098.09613",,,550.19535,363.50213,,,"372,681.65583","125,057.13619",ADELAIDE PCP,Facilities related to the treatment of sewage,N5Y 2N4,,,,"12,900.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
1201 ADELAIDE ST N,7869.33,168,LONDON,,,,,"1,012,243.74581",,,274.81802,0.00000,,,"245,692.92435","108,243.70166",ADELAIDE PUMP STN,Facilities related to the pumping of sewage,N5Y 2N4,,,,0.00,Square feet,,kWh,Cubic Meter,,,,,,,,2015
3901 WEST GRAHAM PL,0.0,168,LONDON,,,,,"60,227.71552",,,0.00000,73.00329,,,"2,442.11341",,ADMIN-PCP,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N6P 1G4,,,,825.00,Square feet,,kWh,,,,,,,,,2015
663 BATHURST ST,0.0,50,LONDON,,,,,"869,880.00000",,,0.00000,65.67110,,,"146,758.38718","58,968.00000",AJ TYLER - MAIN BLDG & (E) WATER/SEWER BLDG,"Administrative offices and related facilities, including municipal council chambers",N5Z 1P8,,,,"22,789.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
663 BATHURST ST,0.0,168,LONDON,,,,,,,,0.00000,25.00110,,,"7,560.86315","3,999.13000",AJ TYLER - UNIT QUONSE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,,,,"1,700.00",Square feet,,,Cubic Meter,,,,,,,,2015
663 BATHURST ST,0.0,50,LONDON,,,,,"23,534.97277",,,0.00000,35.04961,,,"35,425.44957","18,232.65694",AJ TYLER BLDG -# 1 WATER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,,,,"6,200.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
665 BATHURST ST,0.0,50,LONDON,,,,,116.63000,,,0.00000,581.17326,,,"169,850.04045","89,835.44154",AJ TYLER BLDG- STORES BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,,,,"1,643.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
663 BATHURST ST,0.0,50,LONDON,,,,,"37,952.82833",,,0.00000,30.76094,,,"28,715.01863","14,374.12422",AJ TYLER BLDG-# 2 SEWER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,,,,"6,200.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
665 BATHURST ST,0.0,168,LONDON,,,,,"6,807.86038",,,0.00000,85.09825,,,276.04512,,AJ TYLER BLDG-GUARD SHED,Other,N5Z 1P8,,,,80.00,Square feet,,kWh,,,,,,,,,2015
663 BATHURST ST,0.0,168,LONDON,,,,,"36,228.41567",,,0.00000,5.84329,,,"1,468.98980",,AJ TYLER BLDG-PKG LOT,Parking garages,N5Z 1P8,,,,"6,200.00",Square feet,,kWh,,,,,,,,,2015
663 BATHURST ST,0.0,50,LONDON,,,,,,,,0.00000,17.72597,,,"18,920.15588","10,007.34459",AJ TYLER BLDG-WATER/SEWER BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,,,,"6,000.00",Square feet,,,Cubic Meter,,,,,,,,2015
1948 WAVELL ST,0.0,126,LONDON,,,,,"1,199,933.02795",,,0.00000,44.93578,,,"228,969.70187","95,373.02570",ARGYLE ARENA,Indoor recreational facilities,N5V 1P4,,,,"49,260.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
13966 MEDWAY RD,36011.16,168,LONDON,,,,,"5,285,303.94677",,,146.76850,677.60307,,,"214,308.50443",,ARVA PUMPING,Facilities related to the pumping of water,N0M 1C0,,,,"7,800.00",Square feet,,kWh,,,,,,,,,2015
555 WHARNCLIFFE RD S,0.0,168,LONDON,,,,,"1,654.70646",,,0.00000,1.65305,,,67.09504,,BASIL GROVER PK,Other,N6J 2A1,,,,"1,001.00",Square feet,,kWh,,,,,,,,,2015
326 BEACHWOOD AVE,200.0,168,LONDON,,,,,"1,314.09000",,,6.57045,0.00000,,,53.28372,,BEACHWOOD,Facilities related to the pumping of sewage,N6J 1K4,,,,0.00,Square feet,,kWh,,,,,,,,,2015
201 WONDERLAND RD S,2779.98,168,LONDON,,,,,"264,272.64823",,,95.06279,220.22721,,,"10,715.72734",,BERKSHIRE PUMP STN,Facilities related to the pumping of sewage,N6K 3T3,,,,"1,200.00",Square feet,,kWh,,,,,,,,,2015
78 RIVERSIDE DR,0.0,168,LONDON,,,,,"154,222.60486",,,0.00000,8.96643,,,"6,253.41818",,BLACKBURN FOUNTAIN-THAMES RIVER,Other,N6H 1B4,,,,"17,200.00",Square feet,,kWh,,,,,,,,,2015
141 BONAVENTURE DR,0.0,168,LONDON,,,,,716.69742,,,0.00000,0.10239,,,29.06065,,BONAVENTURE MEADOWS-SPLASH PAD,Other,N5V 4S6,,,,"7,000.00",Square feet,,kWh,,,,,,,,,2015
1451 WHARNCLIFFE RD S,155.05,168,LONDON,,,,,"54,999.76952",,,354.72280,146.66605,,,"2,230.13065",,BOSTWICK PUMP STN,Facilities related to the pumping of sewage,N6L 1J9,,,,375.00,Square feet,,kWh,,,,,,,,,2015
530 CHARLOTTE ST,0.0,126,LONDON,,,,,"80,600.36768",,,0.00000,21.33532,,,"21,274.56913","9,524.02850",BOYLE CC,Community centres,N5W 4A4,,,,"8,522.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
24 BROOKDALE AVE,35.66,168,LONDON,,,,,"5,164.00581",,,144.81228,0.00000,,,209.39011,,BROOKDALE PUMP STN,Facilities related to the pumping of sewage,N6J 2W4,,,,0.00,Square feet,,kWh,,,,,,,,,2015
37 TOWER LN,259.78,168,LONDON,,,,,"24,584.77029",,,94.63689,87.80275,,,996.86327,,BROUGHDALE PUMP STN,Facilities related to the pumping of sewage,N6A 3L1,,,,280.00,Square feet,,kWh,,,,,,,,,2015
SEVERAL LOCATIONS,0.0,168,LONDON,,,,,"11,069.96031",,,0.00000,55.34980,,,448.86475,,BULK WATER DISPENSING STNS,Other,N6B 1Z2,,,,200.00,Square feet,,kWh,,,,,,,,,2015
1308 NORMAN AVE,0.0,126,LONDON,,,,,"110,816.92786",,,0.00000,41.12925,,,"45,434.94363","21,655.00590",BYRON CC - POLE BASE,Community centres,N6K 2A3,,,,"8,290.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
